ORI,status,part_number,series,description,image,technical_data,datasheet_link
https://albioncasters.com/caster/330nx08428spl/,200,PART NUMBER: 330NX08428SPL,330 Series Stainless Kingpinless Casters,,https://psdb.colsongroup.com//images/330NX08428SPL.png,"{'Wheel Diameter': '8.0000', 'Fastening Type': 'Top Plate Swivel', 'Fastening Size': '6 1/4"" x 4 1/2""', 'Wheel Material': 'Nylon', 'Swivel Lead': '2.06250000', 'Wheel Type': 'NX - Trionix Polymer', 'Swivel Radius': '6.0625', 'Bearing Type': 'Stainless Steel Precision Ball Bearing', 'Capacity': '3,000', 'Wheel Face': 'Crowned Tread', 'Caster Type': 'Swivel', 'Wheel Color': 'Black Polymer', 'Brake Type': 'Poly Cam Brake (P)', 'Temperature Range': '-30Â°F to +220Â°F', 'Swivel Lock': 'Hand Operated Swivel Lock (L)', 'Tread Width': '2.5000', 'Mount Height': '10.1250', 'Hardness': '78-82 Shore D', 'Wheel Category': 'Trionix High-Impact Nylon'}",
https://albioncasters.com/caster/330pd08428rp/,200,PART NUMBER: 330PD08428RP,330 Series Stainless Kingpinless Casters,,https://psdb.colsongroup.com//images/330PD08428RP.png,"{'Wheel Diameter': '8.0000', 'Fastening Type': 'Top Plate Rigid', 'Fastening Size': '6 1/4"" x 4 1/2""', 'Wheel Material': 'Polyurethane', 'Swivel Lead': '2.06250000', 'Wheel Type': 'PD - Polyurethane Flat Tread (Aluminum Core)', 'Swivel Radius': '0.0000', 'Bearing Type': 'Stainless Steel Precision Ball Bearing', 'Capacity': '2,010', 'Caster Type': 'Rigid', 'Wheel Color': 'Green Tread on Aluminum Core', 'Brake Type': 'Poly Cam Brake (P)', 'Temperature Range': '-40Â°F to +180Â°F', 'Swivel Lock': 'N/A', 'Tread Width': '2.5000', 'Mount Height': '10.1250', 'Hardness': '60 Shore D', 'Wheel Category': 'Polyurethane on Aluminum'}",
https://albioncasters.com/caster/330pd08401rp/,200,PART NUMBER: 330PD08401RP,330 Series Stainless Kingpinless Casters,,https://psdb.colsongroup.com//images/330PD08401RP.png,"{'Wheel Diameter': '8.0000', 'Fastening Type': 'Top Plate Rigid', 'Fastening Size': '6 1/4"" x 4 1/2""', 'Wheel Material': 'Polyurethane', 'Swivel Lead': '2.06250000', 'Wheel Type': 'PD - Polyurethane Flat Tread (Aluminum Core)', 'Swivel Radius': '0.0000', 'Bearing Type': 'Stainless Steel Roller Bearing', 'Capacity': '2,010', 'Caster Type': 'Rigid', 'Wheel Color': 'Green Tread on Aluminum Core', 'Brake Type': 'Poly Cam Brake (P)', 'Temperature Range': '-40Â°F to +180Â°F', 'Swivel Lock': 'N/A', 'Tread Width': '2.5000', 'Mount Height': '10.1250', 'Hardness': '60 Shore D', 'Wheel Category': 'Polyurethane on Aluminum'}",
https://albioncasters.com/caster/330nx10428r/,200,PART NUMBER: 330NX10428R,330 Series Stainless Kingpinless Casters,,https://psdb.colsongroup.com//images/330NX10428R.png,"{'Wheel Diameter': '10.0000', 'Fastening Type': 'Top Plate Rigid', 'Fastening Size': '6 1/4"" x 4 1/2""', 'Wheel Material': 'Nylon', 'Swivel Lead': '2.25000000', 'Wheel Type': 'NX - Trionix Polymer', 'Swivel Radius': '0.0000', 'Bearing Type': 'Stainless Steel Precision Ball Bearing', 'Capacity': '3,000', 'Wheel Face': 'Crowned Tread', 'Caster Type': 'Rigid', 'Wheel Color': 'Black Polymer', 'Brake Type': 'None', 'Temperature Range': '-30Â°F to +220Â°F', 'Swivel Lock': 'N/A', 'Tread Width': '2.5000', 'Mount Height': '11.5000', 'Hardness': '78-82 Shore D', 'Wheel Category': 'Trionix High-Impact Nylon'}",
https://albioncasters.com/caster/330pd08428spl/,200,PART NUMBER: 330PD08428SPL,330 Series Stainless Kingpinless Casters,,https://psdb.colsongroup.com//images/330PD08428SPL.png,"{'Wheel Diameter': '8.0000', 'Fastening Type': 'Top Plate Swivel', 'Fastening Size': '6 1/4"" x 4 1/2""', 'Wheel Material': 'Polyurethane', 'Swivel Lead': '2.06250000', 'Wheel Type': 'PD - Polyurethane Flat Tread (Aluminum Core)', 'Swivel Radius': '6.0625', 'Bearing Type': 'Stainless Steel Precision Ball Bearing', 'Capacity': '2,010', 'Caster Type': 'Swivel', 'Wheel Color': 'Green Tread on Aluminum Core', 'Brake Type': 'Poly Cam Brake (P)', 'Temperature Range': '-40Â°F to +180Â°F', 'Swivel Lock': 'Hand Operated Swivel Lock (L)', 'Tread Width': '2.5000', 'Mount Height': '10.1250', 'Hardness': '60 Shore D', 'Wheel Category': 'Polyurethane on Aluminum'}",
https://albioncasters.com/caster/330pd10401rp/,200,PART NUMBER: 330PD10401RP,330 Series Stainless Kingpinless Casters,,https://psdb.colsongroup.com//images/330PD10401RP.png,"{'Wheel Diameter': '10.0000', 'Fastening Type': 'Top Plate Rigid', 'Fastening Size': '6 1/4"" x 4 1/2""', 'Wheel Material': 'Polyurethane', 'Swivel Lead': '2.25000000', 'Wheel Type': 'PD - Polyurethane Flat Tread (Aluminum Core)', 'Swivel Radius': '0.0000', 'Bearing Type': 'Stainless Steel Roller Bearing', 'Capacity': '2,370', 'Caster Type': 'Rigid', 'Wheel Color': 'Green Tread on Aluminum Core', 'Brake Type': 'Poly Cam Brake (P)', 'Temperature Range': '-40Â°F to +180Â°F', 'Swivel Lock': 'N/A', 'Tread Width': '2.5000', 'Mount Height': '11.5000', 'Hardness': '60 Shore D', 'Wheel Category': 'Polyurethane on Aluminum'}",
https://albioncasters.com/caster/330pd10401s/,200,PART NUMBER: 330PD10401S,330 Series Stainless Kingpinless Casters,,https://psdb.colsongroup.com//images/330PD10401S.png,"{'Wheel Diameter': '10.0000', 'Fastening Type': 'Top Plate Swivel', 'Fastening Size': '6 1/4"" x 4 1/2""', 'Wheel Material': 'Polyurethane', 'Swivel Lead': '2.25000000', 'Wheel Type': 'PD - Polyurethane Flat Tread (Aluminum Core)', 'Swivel Radius': '7.2500', 'Bearing Type': 'Stainless Steel Roller Bearing', 'Capacity': '2,370', 'Caster Type': 'Swivel', 'Wheel Color': 'Green Tread on Aluminum Core', 'Brake Type': 'None', 'Temperature Range': '-40Â°F to +180Â°F', 'Swivel Lock': 'None', 'Tread Width': '2.5000', 'Mount Height': '11.5000', 'Hardness': '60 Shore D', 'Wheel Category': 'Polyurethane on Aluminum'}",
https://albioncasters.com/caster/330pd10428sp/,200,PART NUMBER: 330PD10428SP,330 Series Stainless Kingpinless Casters,,https://psdb.colsongroup.com//images/330PD10428SP.png,"{'Wheel Diameter': '10.0000', 'Fastening Type': 'Top Plate Swivel', 'Fastening Size': '6 1/4"" x 4 1/2""', 'Wheel Material': 'Polyurethane', 'Swivel Lead': '2.25000000', 'Wheel Type': 'PD - Polyurethane Flat Tread (Aluminum Core)', 'Swivel Radius': '7.2500', 'Bearing Type': 'Stainless Steel Precision Ball Bearing', 'Capacity': '2,370', 'Caster Type': 'Swivel', 'Wheel Color': 'Green Tread on Aluminum Core', 'Brake Type': 'Poly Cam Brake (P)', 'Temperature Range': '-40Â°F to +180Â°F', 'Swivel Lock': 'None', 'Tread Width': '2.5000', 'Mount Height': '11.5000', 'Hardness': '60 Shore D', 'Wheel Category': 'Polyurethane on Aluminum'}",
https://albioncasters.com/caster/330pd10428rp/,200,PART NUMBER: 330PD10428RP,330 Series Stainless Kingpinless Casters,,https://psdb.colsongroup.com//images/330PD10428RP.png,"{'Wheel Diameter': '10.0000', 'Fastening Type': 'Top Plate Rigid', 'Fastening Size': '6 1/4"" x 4 1/2""', 'Wheel Material': 'Polyurethane', 'Swivel Lead': '2.25000000', 'Wheel Type': 'PD - Polyurethane Flat Tread (Aluminum Core)', 'Swivel Radius': '0.0000', 'Bearing Type': 'Stainless Steel Precision Ball Bearing', 'Capacity': '2,370', 'Caster Type': 'Rigid', 'Wheel Color': 'Green Tread on Aluminum Core', 'Brake Type': 'Poly Cam Brake (P)', 'Temperature Range': '-40Â°F to +180Â°F', 'Swivel Lock': 'N/A', 'Tread Width': '2.5000', 'Mount Height': '11.5000', 'Hardness': '60 Shore D', 'Wheel Category': 'Polyurethane on Aluminum'}",
https://albioncasters.com/caster/330nx10428sp/,200,PART NUMBER: 330NX10428SP,330 Series Stainless Kingpinless Casters,,https://psdb.colsongroup.com//images/330NX10428SP.png,"{'Wheel Diameter': '10.0000', 'Fastening Type': 'Top Plate Swivel', 'Fastening Size': '6 1/4"" x 4 1/2""', 'Wheel Material': 'Nylon', 'Swivel Lead': '2.25000000', 'Wheel Type': 'NX - Trionix Polymer', 'Swivel Radius': '7.2500', 'Bearing Type': 'Stainless Steel Precision Ball Bearing', 'Capacity': '3,000', 'Wheel Face': 'Crowned Tread', 'Caster Type': 'Swivel', 'Wheel Color': 'Black Polymer', 'Brake Type': 'Poly Cam Brake (P)', 'Temperature Range': '-30Â°F to +220Â°F', 'Swivel Lock': 'None', 'Tread Width': '2.5000', 'Mount Height': '11.5000', 'Hardness': '78-82 Shore D', 'Wheel Category': 'Trionix High-Impact Nylon'}",
